ตารางวันและเวลาเรียนรายวิชาเพิ่มเติม สำหรับนักเรียนชั้นมัธยมศึกษาปีที่ 4 ภาคเรียนที่ 2 ปีการศึกษา 2566,,,,,,,,,,,,,,
ลำดับ,รหัสวิชา,ชื่อรายวิชา,นก.,"คาบ/
 สัปดาห์",กลุ่ม,อาจารย์ผู้สอน,"จำนวน
 รับ","จำนวน
 เลือก","จำนวน
 เลือก (Update)","เวลาเรียน
 (9 ต.ค. 66 - 1 ธ.ค. 66)","ห้องเรียน
(9 ต.ค. 66 - 1 ธ.ค. 66)","เวลาเรียน
(4 ธ.ค. 66 - ปิดภาคเรียน)","ห้องเรียน
(4 ธ.ค. 66 - ปิดภาคเรียน)",หมายเหตุ
,,,,,3,,20,0+1+1+1+1-1+1+1+1+1+1+1+1+1+1+1+1+1+1,16,พฤ.6,ห้องปฏิบัติการคณิตศาสตร์,พฤ.6,ห้องปฏิบัติการคณิตศาสตร์,รายวิชาเปิดใหม่
47,ง30289,ผลิตภัณฑ์เกษตร,1,2,1, อ.ทิพวัลย์ ตาปนานนท์,20,0+1+1+1+1+1+1+1,7,"พ.4,พ.6",ห้องปฏิบัติการงานเกษตร,"พ.4,พ.6",ห้องปฏิบัติการงานเกษตร,รายวิิชาเปิดใหม่
48,ก30207,ภาษาเกาหลีสำหรับการสอบ TOPIK,1,2,1,Ms.Hyerin Kim,12,5 -1 -1-1-1-1,0,พฤ.7-8,ม.6/1,พฤ.7-8,ม.6/1,
49,ก31210,ภาษาเกาหลี คาจา 2,1,2,1,Ms.Hyerin Kim,35,35-1+1-1-1+1+1+1-1-1-1+1-1,33,จ.6-7,ม.4/3,อ.7-8,ม.4/3,
50,ก31221,เปิดโลกภาษาเกาหลี 2,1,2,1,อ.แพร์ฉายญ์ พรประสิทธิ์,35,10,10,พ.1-2,ห้องประชุม 2,พ.1-2,ห้องประชุม 2,
51,จ30232,ภาษาจีนเบื้องต้น 2,1,2,1,อ.ชัญญภัค โตเจริญบดี,12,1+1,2,พฤ.7-8,ม.5/7,พฤ.7-8,ม.5/7,
52,จ30234,ภาษาจีนเบื้องต้น 4,1,2,1,Mrs.Lindan Tan,12,0,0,พฤ.7-8,ม.5/3,พฤ.7-8,ม.5/3,
53,จ31202,ภาษาจีน 2,3,6,1,อ.ชัญญภัค โตเจริญบดี,6,6,6,"จ.3-4, พ.3-4, พฤ.3-4",ม.4/6,"จ.3-4, พ.3-4, พฤ.3-4",ม.4/6,
54,ญ30232,ภาษาญี่ปุ่นเบื้องต้น 2,1,2,1,อ.ดร.กวิตา ฟองสถาพร,12,9-1-1,7,พฤ.7-8,ม.5/6,พฤ.7-8,ม.5/6,
55,ญ30236,ภาษาญี่ปุ่นขั้นสูง 2,1,2,1,Mr.Takeshi Kashima,12,0+1,1,พฤ.7-8,ม.6/3,พฤ.7-8,ม.6/3,
