ตารางวันและเวลาเรียนรายวิชาเพิ่มเติม สำหรับนักเรียนชั้นมัธยมศึกษาปีที่ 6 ภาคเรียนที่ 2 ปีการศึกษา 2566,,,,,,,,,,,,,,
ลำดับ,รหัสวิชา,ชื่อรายวิชา,นก.,"คาบ/
 สัปดาห์",กลุ่ม,อาจารย์ผู้สอน,"จำนวน
 รับ","จำนวน
 เลือก","จำนวน
 เลือก(Update)","เวลาเรียน
 (9 ต.ค. 66 - 1 ธ.ค. 66)","ห้องเรียน
 (9 ต.ค. 66 - 1 ธ.ค. 66)","เวลาเรียน
 (4 ธ.ค. 66 - ปิดภาคเรียน)","ห้องเรียน
(4 ธ.ค. 66 - ปิดภาคเรียน)",หมายเหตุ
73,ย33202,ภาษาเยอรมัน 6,3,6,1,ผศ.รัตนา พิกุลกานตเลิศ,5,5,5,"จ.1-2, พ.1,9, พฤ.1-2","จ.1-2,พฤ.1-2 ม.6/4, 
พ.1,9 ห้องปฏิบัติการชมรมภาษาอังกฤษ","จ.1-2, อ.4, พ.1, พฤ.1-2","จ.1-2,พฤ.1-2 ม.6/4, 
อ.4,พ.1 ห้องปฏิบัติการชมรมภาษาอังกฤษ",
74,อ30235,ภาษาพา(ตะ)ลุยโลกกว้างทางอาชีพ,0.5,1,1,อ.พิสันธนีย์ / อ.อภันตรี,12,1,1,พฤ.8,ม.2/4,พฤ.8,ม.2/4,
75,อ33202,การอ่านภาษาอังกฤษ 6,1,2,1,อ.สัญลักษณ์ ศรียากร,35,12-1+1+1-1,11,จ.1-2,ม.6/7,จ.1-2,ม.6/7,
,,,,,2,อ.พิสันธนีย์ ศรีดุรงฤทธิ์,35,8 -1 +1+1,9,พฤ.1-2,ม.4/6,พฤ.1-2,ม.4/6,
,,,,,3,อ.พิสันธนีย์ ศรีดุรงฤทธิ์,35,18+1+1-1-1+1-1+1+1+1,21,"พ.6, พฤ.9",ม.6/3,"จ.6, พ.6",ม.6/3,
76,อ33207,ภาษาอังกฤษในชีวิตประจำวันเบื้องต้น,0.5,1,1,อ.พิสันธนีย์ ศรีดุรงฤทธิ์,35,9 -1 -1 -1 -1-1,4,พ.8,ม.6/6,อ.3,ม.6/6,Update 09/10/2566
,,,,,2,อ.สัญลักษณ์ ศรียากร,35,12+1+1,14,พ.2,ม.3/5,พ.2,ม.3/5,
77,อ33236,บทกวีภาษาอังกฤษ,0.5,1,1,อ.วิไลพรรณ สุคนธทรัพย์,35,10+1+1,12,พ.6,ม.2/5,พ.6,ม.2/5,
78,อ33238,ปรับพื้นฐานภาษาอังกฤษ 2,0.5,1,1,อ.สัญลักษณ์ ศรียากร,35,6+1+1-1,7,ศ.3,ม.6/3,ศ.3,ม.6/3,
,,,,,2,อ.สัญลักษณ์ ศรียากร,35,3 -1 -1,1,พ.6,ม.3/5,พ.6,ม.3/5,
79,อ33274,ทักษะอุดมศึกษา 2,0.5,1,1,อ.ศศิธร เหลืองจินดา,35,4-1-1-1-1,0,ศ.1,ม.3/4,ศ.1,ม.3/4,
,,,,,,,,,,,,,,ณ 5 ต.ค. 66
